Date,META,AAPL,AMZN,NFLX,GOOGL
2019-01-02,134.49887084960938,37.46920394897461,76.95649719238281,26.766000747680664,52.270503997802734
2019-01-03,130.59317016601562,33.73699951171875,75.01399993896484,27.1200008392334,50.822845458984375
2019-01-04,136.74913024902344,35.17720031738281,78.76950073242188,29.756999969482422,53.42972946166992
2019-01-07,136.84828186035156,35.098899841308594,81.47550201416016,31.534000396728516,53.32317352294922
2019-01-08,141.2892608642578,35.76799774169922,82.8290023803711,32.027000427246094,53.79152297973633
2019-01-09,142.97447204589844,36.37540054321289,82.97100067138672,31.996000289916992,53.607154846191406
2019-01-10,142.94471740722656,36.491668701171875,82.81099700927734,32.465999603271484,53.46739196777344
2019-01-11,142.5482177734375,36.13338851928711,82.02799987792969,33.75899887084961,52.755706787109375
2019-01-14,144.12435913085938,35.59005355834961,80.8604965209961,33.29399871826172,52.11339569091797
2019-01-15,147.65335083007812,36.318450927734375,83.72799682617188,35.4640007019043,53.8480224609375
2019-01-16,146.25563049316406,36.76214599609375,84.18900299072266,35.138999938964844,53.9966926574707
2019-01-17,147.009033203125,36.98043441772461,84.66100311279297,35.319000244140625,54.47298049926758
2019-01-18,148.73385620117188,37.208221435546875,84.80999755859375,33.90999984741211,54.87837600708008
2019-01-22,146.28536987304688,36.37303161621094,81.6084976196289,32.51599884033203,53.45747756958008
2019-01-23,143.04385375976562,36.52012252807617,82.0009994506836,32.19900131225586,53.74394226074219
2019-01-24,144.560546875,36.23067092895508,82.74649810791016,32.66699981689453,53.72361755371094
2019-01-25,147.71282958984375,37.43123245239258,83.52850341796875,33.80500030517578,54.591426849365234
2019-01-28,146.18626403808594,37.08483123779297,81.89450073242188,33.566001892089844,53.51844024658203
2019-01-29,142.934814453125,36.700462341308594,79.69400024414062,32.88999938964844,53.03274917602539
2019-01-30,149.1105499267578,39.2083625793457,83.52149963378906,34.066001892089844,54.41697311401367
2019-01-31,165.23895263671875,39.490718841552734,85.9365005493164,33.95000076293945,55.79970932006836
2019-02-01,164.26747131347656,39.50969696044922,81.3115005493164,33.98500061035156,55.43940353393555
2019-02-04,167.77667236328125,40.63197708129883,81.66549682617188,35.13399887084961,56.56938934326172
2019-02-05,169.67005920410156,41.32716369628906,82.94049835205078,35.58100128173828,57.0872917175293
