Date,Close,High,Low,Open,Volume,Ticker
2019-01-02,134.49887084960938,136.31294214395066,127.44085673248901,127.8671213608656,28146200,META
2019-01-03,130.59317016601562,135.97589316541095,129.97855716192853,133.5174865269331,22717900,META
2019-01-04,136.74913024902344,136.79869801987482,132.58569463882793,132.8434258709111,29002100,META
2019-01-07,136.84828186035156,137.6611359191168,134.7269111020634,136.36254185050532,20089300,META
2019-01-08,141.2892608642578,141.8939513581992,138.32528366838775,138.672242933716,26263800,META
2019-01-09,142.97447204589844,143.440381900863,140.04024734863347,141.70561566989826,22205900,META
2019-01-10,142.94471740722656,143.30158416591036,139.61396603483087,141.8344719917478,16125000,META
2019-01-11,142.5482177734375,144.09463548546228,141.32892921218115,141.9038669761201,12908000,META
2019-01-14,144.12435913085938,145.29409493148682,140.04022914681872,140.76387015955348,20520300,META
2019-01-15,147.65335083007812,149.36828652209846,144.71912682386647,144.7389418282902,24069000,META
2019-01-16,146.25563049316406,148.34726315990443,145.72033794796064,147.7029275799057,18025700,META
2019-01-17,147.009033203125,147.70293659145,145.2246994003183,145.6707790695301,15787900,META
2019-01-18,148.73385620117188,151.1030500258007,147.25683671851928,148.44638738186362,31029600,META
2019-01-22,146.28536987304688,150.21088851470068,145.09580410192063,147.90116998963578,22378700,META
2019-01-23,143.04385375976562,147.50468070575025,141.81464266708224,146.98920313450117,20098400,META
2019-01-24,144.560546875,145.16523741000162,141.27936295387815,143.3809034439345,20955500,META
2019-01-25,147.71282958984375,148.5256985691738,145.2643302753653,146.196149787882,22237200,META
2019-01-28,146.18626403808594,147.6632989240889,144.93723787589587,146.76121691063824,15508500,META
2019-01-29,142.934814453125,146.81078115325562,142.18142064639198,146.80085852361344,17632100,META
2019-01-30,149.1105499267578,149.63593491813847,144.43163763955295,144.94711512908083,44613200,META
2019-01-31,165.23895263671875,170.18550460695715,163.56366180174726,164.15844480413764,77233600,META
2019-02-01,164.26747131347656,167.6279601489717,164.21790354727403,164.39632935445286,30806500,META
2019-02-04,167.77667236328125,167.82624013658665,162.1956768854242,164.25757222204984,20036000,META
2019-02-05,169.67005920410156,170.4829132547652,167.2215592953365,167.67754653386544,22557000,META
2019-02-06,169.005859375,170.96861888411965,167.79647848403775,169.7096702269458,13281200,META
2019-02-07,164.931640625,167.76674447768966,163.81147261341835,166.7357893716431,17517600,META
2019-02-08,165.8733673095703,165.91301244772862,162.78053225061998,163.03826346354623,12561400,META
2019-02-11,164.3467559814453,166.83491557591657,163.6429451536395,166.4383885857827,12811200,META
2019-02-12,163.60330200195312,166.8745781643805,163.06800941673683,165.4074659623436,16292300,META
2019-02-13,162.6417694091797,164.77304749739332,162.30471763106678,163.9403633711484,14205100,META
2019-02-14,162.5227813720703,163.43477078382617,160.83758321717448,161.76940276043504,12755200,META
2019-02-15,161.08544921875,163.26629535221136,159.45972590551926,163.07794686835544,15504400,META
2019-02-19,160.8772430419922,162.72105216534464,158.93431350398367,159.1028318222628,14345400,META
2019-02-20,161.1448974609375,162.2948031818548,159.84630355453947,160.83759846030406,11770700,META
2019-02-21,158.64682006835938,160.82768082441467,158.2007404140604,160.5203667171822,15607800,META
2019-02-22,160.48074340820312,160.99622103211192,158.91449552760557,159.18214940697604,15858500,META
2019-02-25,163.18698120117188,164.62437107961182,161.48195255827181,161.65048602236217,18737100,META
2019-02-26,162.70123291015625,164.79286570447985,162.37410378581643,162.90939636367105,13784100,META
2019-02-27,161.39271545410156,162.50296086881065,159.01361381516514,161.48192836222083,12697500,META
2019-02-28,160.0445556640625,162.07671319723192,159.45969531394803,160.9565451403324,11114200,META
2019-03-01,160.86732482910156,161.7099314903632,160.28246450589862,161.1845464371865,11097800,META
2019-03-04,165.91302490234375,166.04189808146043,162.4038475624923,162.47323034096743,18894700,META
2019-03-05,169.7691650390625,170.38377818411251,165.10017436805197,165.9130283488519,28187900,META
2019-03-06,171.00827026367188,172.0590555174548,169.77907432212362,171.39487465270062,21531700,META
2019-03-07,167.65769958496094,170.24497969856398,166.1509272067736,170.0070634938106,18306500,META
2019-03-08,168.12362670898438,168.14344171695552,164.52522126142048,164.75321486077115,13184800,META
2019-03-11,170.57211303710938,172.78269632948613,170.0863731125954,170.10620324497287,18884000,META
2019-03-12,170.4234161376953,172.2870553762765,169.72951273799794,170.59193445433897,12155300,META
2019-03-13,171.86077880859375,172.51503702270958,170.62166027850708,170.81993134408785,11973300,META
2019-03-14,168.6886444091797,169.66010913612425,166.69614718712864,168.282209886595,18037400,META
2019-03-15,164.53512573242188,166.12120364657443,161.095331167797,165.7048615974504,37135400,META
2019-03-18,159.07310485839844,162.4732393410278,157.89346142533574,162.14612531215909,37524200,META
2019-03-19,160.16351318359375,162.39392655443643,159.42004205997952,160.0742851530314,25611500,META
2019-03-20,163.99981689453125,164.67389010942523,159.8363816895949,160.0941128965911,20211500,META
2019-03-21,164.63426208496094,164.94156108992567,162.32454310685958,163.45461871032083,16223000,META
2019-03-22,162.90940856933594,165.96259883263585,162.66158483165862,164.20800253461144,16389200,META
2019-03-25,164.84243774414062,165.09026149241106,160.58978887924286,161.5810838723246,12631200,META
2019-03-26,166.22030639648438,167.97490244456756,164.90189761069288,165.8931924201928,15437900,META
2019-03-27,164.4260711669922,167.4693536028453,163.3554709188399,166.3888458515842,10620300,META
2019-03-28,164.10887145996094,165.26868466187196,161.90819560219353,163.13740670660943,10443000,META
2019-03-29,165.23895263671875,165.73460009672405,163.37531334679161,164.94156113552356,13455500,META
2019-04-01,167.23141479492188,167.42967071201872,165.82377811979035,166.36899323627432,10381500,META
2019-04-02,172.68356323242188,173.3774666158427,168.0740481398785,168.6589084826218,23946500,META
2019-04-03,172.029296875,176.41083330215372,171.44443655984026,172.98094656020862,27391100,META
2019-04-04,174.48770141601562,176.4504607327183,174.00196155629448,174.48770141601562,17847700,META
2019-04-05,174.19032287597656,175.4591790056014,173.57572494236527,175.34022847031102,9594100,META
2019-04-08,173.40719604492188,173.9722413542248,172.71329269434176,173.68477251111253,7297400,META
2019-04-09,176.0341339111328,177.63011915787962,174.0218066599249,174.09118943102257,19751000,META
2019-04-10,176.27206420898438,177.23360633426717,175.00319283671809,176.62891584767104,11701500,META
2019-04-11,175.96475219726562,176.8470040529445,175.45919724377316,176.68840836472478,8071000,META
2019-04-12,177.54092407226562,178.06630916342613,176.4009258524956,176.4504936230873,12329800,META
2019-04-15,178.0861358642578,178.92874264176405,175.3303370491596,176.94615269559492,10834800,META
2019-04-16,177.3129119873047,178.6015983684305,176.74788176597113,177.44178516320514,11215200,META
2019-04-17,177.22369384765625,179.166638428535,176.80735182160203,178.0365628932567,9973700,META
2019-04-18,176.72804260253906,177.32282555603885,175.79622303417014,177.24352015384164,11655600,META
2019-04-22,179.86053466796875,180.08852824143602,176.6983017701339,176.6983017701339,13389900,META
2019-04-23,182.18020629882812,182.61637854869107,179.90022461833865,181.1492660840303,19954800,META
2019-04-24,180.99061584472656,183.5283282450124,180.06870376711515,182.88399264176886,37289900,META
2019-04-25,191.57765197753906,196.75221270198747,190.44757636679515,195.26527031280025,54148800,META
2019-04-26,189.8230743408203,191.2207887166378,187.4439573987803,190.82427678927803,22075000,META
2019-04-29,193.0844268798828,193.70894753134465,188.9903739442293,189.2877654509235,19641300,META
2019-04-30,191.71644592285156,195.67171839701462,190.60620036910527,192.49957743919572,23494700,META
2019-05-01,191.3496551513672,194.4722280655926,191.32982501791042,193.08442124281683,15996600,META
2019-05-02,190.85400390625,192.31120860420398,188.0982053229263,191.31991371449158,13209500,META
2019-05-03,193.76840209960938,194.45239795411985,192.02372863992778,192.68789436252177,14575400,META
2019-05-06,192.1922607421875,192.5887726532269,188.89124689822324,189.57524280183202,13994900,META
