Date,Close,High,Low,Open,Volume,Ticker,MA7,MA21,Daily_Return,Volatility,RSI,Lag_1,Lag_2,Lag_3
2019-02-01,164.26747131347656,167.6279601489717,164.21790354727403,164.39632935445286,30806500,META,151.4302041190011,145.57448250906808,-0.005879251276652675,0.030577063179988023,72.91365434500335,165.23895263671875,149.1105499267578,142.934814453125
2019-02-04,167.77667236328125,167.82624013658665,162.1956768854242,164.25757222204984,20036000,META,154.74679347446985,147.34512547084265,0.02136272642261572,0.029311937724793288,73.97513764129926,164.26747131347656,165.23895263671875,149.1105499267578
2019-02-05,169.67005920410156,170.4829132547652,167.2215592953365,167.67754653386544,22557000,META,157.883540562221,148.9127887544178,0.011285161483717054,0.028210528177822766,73.08259480842506,167.77667236328125,164.26747131347656,165.23895263671875
2019-02-06,169.005859375,170.96861888411965,167.79647848403775,169.7096702269458,13281200,META,161.1434827532087,150.44410196940103,-0.003914655492060493,0.02831044326244581,74.22421090428168,169.67005920410156,167.77667236328125,164.26747131347656
2019-02-07,164.931640625,167.76674447768966,163.81147261341837,166.7357893716431,17517600,META,164.28588649204798,151.56992957705543,-0.024106967445193028,0.0288003911329804,67.82335189047322,169.005859375,169.67005920410156,167.77667236328125
2019-02-08,165.8733673095703,165.91301244772862,162.78053225061998,163.03826346354623,12561400,META,166.68057468959265,152.6603531610398,0.005709800017763111,0.028787504951712173,67.31426534970421,164.931640625,169.005859375,169.67005920410156
2019-02-11,164.3467559814453,166.83491557591657,163.6429451536395,166.4383885857827,12811200,META,166.55311802455358,153.67949785505022,-0.009203474631800712,0.02897389632012519,68.59182153424533,165.8733673095703,164.931640625,169.005859375
2019-02-12,163.60330200195312,166.8745781643805,163.06800941673683,165.4074659623436,16292300,META,166.45823669433594,154.68212091355096,-0.004523691234745941,0.029006056468088074,72.3106519477096,164.3467559814453,165.8733673095703,164.931640625
2019-02-13,162.6417694091797,164.77304749739332,162.30471763106678,163.9403633711484,14205100,META,165.72467912946428,155.56390235537575,-0.005877219964435465,0.029121779993453226,69.86063693029165,163.60330200195312,164.3467559814453,165.8733673095703
2019-02-14,162.5227813720703,163.43477078382617,160.83758321717448,161.76940276043504,12755200,META,164.7036394391741,156.27197047642298,-0.0007315958104834319,0.028846913608978765,67.42882282697505,162.6417694091797,163.60330200195312,164.3467559814453
2019-02-15,161.08544921875,163.26629535221136,159.45972590551926,163.07794686835544,15504400,META,163.57215227399553,156.9781523204985,-0.008843881092766681,0.028831669606439413,67.57073854710524,162.5227813720703,162.6417694091797,163.60330200195312
2019-02-19,160.8772430419922,162.72105216534464,158.93431350398367,159.1028318222628,14345400,META,162.99295261928015,157.63854326520647,-0.001292520074082426,0.028864113929026887,72.79591801127123,161.08544921875,162.5227813720703,162.6417694091797
2019-02-20,161.1448974609375,162.2948031818548,159.84630355453947,160.83759846030406,11770700,META,162.3174569266183,158.2295452299572,0.0016637183350751705,0.028824718987796934,67.9904997529589,160.8772430419922,161.08544921875,162.5227813720703
2019-02-21,158.64682006835938,160.82768082441467,158.2007404140604,160.5203667171822,15607800,META,161.50318036760603,158.8181857154483,-0.015502057042691475,0.028791045843675346,33.366700906930646,161.1448974609375,160.8772430419922,161.08544921875
2019-02-22,160.48074340820312,160.99622103211192,158.91449552760557,159.18214940697604,15858500,META,161.0571005684989,159.6485137939453,0.011559786316886367,0.028178487262169833,40.843809747289484,158.64682006835938,161.1448974609375,160.8772430419922
2019-02-25,163.18698120117188,164.62437107961182,161.4819525582718,161.65048602236217,18737100,META,161.1349879673549,160.53548685709634,0.01686331790029838,0.028264238564623376,38.453926256214665,160.48074340820312,158.64682006835938,161.1448974609375
2019-02-26,162.70123291015625,164.79286570447985,162.37410378581643,162.90939636367105,13784100,META,161.16048104422433,161.2492203485398,-0.00297663629439171,0.028094776160891767,31.132607846069575,163.18698120117188,160.48074340820312,158.64682006835938
2019-02-27,161.39271545410156,162.50296086881065,159.01361381516514,161.48192836222083,12697500,META,161.20437622070312,161.9733370826358,-0.008042455687949479,0.028036731003741974,30.08305529807855,162.70123291015625,163.18698120117188,160.48074340820312
2019-02-28,160.0445556640625,162.07671319723192,159.45969531394803,160.9565451403324,11114200,META,161.0854208809989,162.78808666410902,-0.00835328773201327,0.02751904133264234,35.08777484346541,161.39271545410156,162.70123291015625,163.18698120117188
