Date,Close,High,Low,Open,Volume,Ticker,MA7,MA21,Daily_Return,Volatility,RSI,Lag_1,Lag_2,Lag_3
2019-02-01,39.50969696044922,40.09337168073329,39.369706696277575,39.61409500678469,130672400,AAPL,37.950853620256694,36.675713857014976,0.00048057162424997024,0.03144848953647862,70.6532326074467,39.490718841552734,39.2083625793457,36.700462341308594
2019-02-04,40.63197708129883,40.72925742817227,39.69002672443846,39.7208725954977,125982000,AAPL,38.57961164202009,37.00404612223307,0.02840518169433337,0.021347361250683202,78.8019507688016,39.50969696044922,39.490718841552734,39.2083625793457
2019-02-05,41.32716369628906,41.54070616529914,40.89296827882337,41.013973143644144,144406400,AAPL,39.136173248291016,37.296901521228605,0.017109347487552995,0.020024118687127057,78.72121215833232,40.63197708129883,39.50969696044922,39.490718841552734
2019-02-06,41.341400146484375,41.656965666225744,41.01159918712273,41.43867685735861,112958400,AAPL,39.74425452096121,37.59416344052269,0.0003444816658586536,0.01996697609183504,77.61888722313788,41.32716369628906,40.63197708129883,39.50969696044922
2019-02-07,40.55842208862305,41.27022309791329,40.41606043860214,40.904829885716296,126966800,AAPL,40.29539162772043,37.8222788856143,-0.018939321239411666,0.020626442035607897,70.2037373385765,41.341400146484375,41.32716369628906,40.63197708129883
2019-02-08,40.60608673095703,40.665657891479206,40.13189898426392,40.26772297550331,95280000,AAPL,40.49506650652204,38.02374013264974,0.0011752094849704076,0.020501403848481516,69.58504067271585,40.55842208862305,41.341400146484375,41.32716369628906
2019-02-11,40.37255096435547,40.79670082315533,40.32966148911306,40.7585744212062,83973600,AAPL,40.62104252406529,38.208544049944194,-0.005751250253413831,0.020643043003752075,74.77099031038338,40.60608673095703,40.55842208862305,41.341400146484375
2019-02-12,40.72045516967773,40.7466666211287,40.43689591378119,40.53221193539128,89134000,AAPL,40.79400798252651,38.426975795200896,0.008617345127124088,0.02037056016265293,75.3833230056507,40.37255096435547,40.60608673095703,40.55842208862305
2019-02-13,40.55126953125,41.09932481206212,40.48931684716783,40.83959548318567,89960800,AAPL,40.78247833251953,38.66322417486282,-0.004154807153376572,0.01994528634630838,76.49523884381082,40.72045516967773,40.37255096435547,40.60608673095703
2019-02-14,40.699005126953125,40.80861399260933,40.3606414751641,40.43927581927432,87342800,AAPL,40.69274139404297,38.87182199387323,0.0036431805319752097,0.019689057390785556,73.01017669947878,40.55126953125,40.72045516967773,40.37255096435547
2019-02-15,40.60845565795898,40.91345961424227,40.44880543364929,40.80623228578758,98507200,AAPL,40.58803503853934,39.054979596819194,-0.0022248570625177377,0.019699241933741275,75.73919978331853,40.699005126953125,40.55126953125,40.72045516967773
2019-02-19,40.72998809814453,40.85151558058728,40.38686130166285,40.43928420861173,75891200,AAPL,40.61254446847098,39.23352977207729,0.002992786556800242,0.019702190269591913,80.61008277318571,40.60845565795898,40.699005126953125,40.55126953125
